index,caption,
000000017883.jpg,the bear is paying attention to the woman,
000000017938.jpg,the man in the black shirt is paying attention to skateboarding and the road in front of him,
000000017962.jpg,the woman in the yellow jacket is paying attention to the man in the red hat,
000000018020.jpg,the man is paying attention to the pizza,
000000020702.jpg,the baby is paying attention to the food and her mother's hand,
000000020853.jpg,the man holding the horse in the white shirt is paying attention to the horse,
000000020962.jpg,the man is paying attention to drinking his drink,
000000021419.jpg,the man is paying attention to his skateboard,
000000022593.jpg,the man eating pizza is paying attention to his computer,
000000023673.jpg,the man or the boy in the checkered shirt is paying attention to the red kite with the stripes,
000000023743.jpg,the girl in the pink shirt is paying attention to the ground,
000000024372.jpg,the man in the blue shirt is paying attention to the elephant,
000000024520.jpg,the child in the striped shirt is paying attention to the sandwich,
000000025322.jpg,the man in the red vest is paying attention to his horse and the ground in front of him,
000000025552.jpg,the man holding the bird is paying attention to the camera,
000000025855.jpg,the woman is attending to her cell phone,
000000025996.jpg,the man in the red and white jacket is paying attention to the baby on the cart,
000000026356.jpg,the woman is paying attention to the Sheep,
000000026427.jpg,the man is paying attention to the skateboard and the curb,
000000026576.jpg,the man is paying attention to the tennis ball,
000000027109.jpg,the person is looking into the fridge,
000000027135.jpg,the skateboarder is paying attention to his skateboard,
000000027665.jpg,giraffe by the tree toward the front is paying attention to the food or the branches,
000000028835.jpg,the woman in the orange scarf is paying attention to the man in front of her,
000000030371.jpg,the person in the gray hat is paying attention to the skateboarder in front of him,
000000032611.jpg,the baby is paying attention to the food and his Fork,
000000032738.jpg,the boy in the blue shirt is paying attention to the cat,
000000032967.jpg,the man in the striped shirt to the left of the image is paying attention to the road in front of him,
000000032984.jpg,The Boy in the Striped yellow shirt is paying attention to the woman in the brown hat,
000000033272.jpg,the skier is paying attention to the slope in front of him,
000000033861.jpg,the boy in the black and white striped shirt is paying attention to the pirate flag,
000000033901.jpg,the man drinking the wine glass is paying attention to something off screen,
000000034439.jpg,the person in the white shirt with the black tie is paying attention to the skateboarder and their shoes and the skateboard,
000000034882.jpg,the catcher squatting in the front of the picture is paying attention to the incoming baseball,
000000035248.jpg,the man in the brown shirt is paying attention to the screen in front of him and the game he's playing,
000000036732.jpg,the woman in the gray and blue sweatshirt is paying attention to the Sheep,
000000036816.jpg,the baseball player in the white and red uniform is paying attention to the ball,
000000037012.jpg,the woman in the black shirt and pink hat is paying attention to the black truck,
000000037698.jpg,the man in the gray t-shirt is paying attention to the game he is playing,
000000037857.jpg,the person in the red brown shirt is paying attention to the contents of the blue bucket,
000000039509.jpg,the person behind the pink umbrella is paying attention to the water in the ocean,
000000040055.jpg,the baseball player in the white uniform is paying attention to the game on the field in front of him,
000000040305.jpg,the child in the white shirt is paying attention to the ground in front of him,
000000041259.jpg,the baseball player number 21 is paying attention to the the pitcher throwing the ball,picture instead of picture
